creatorid,post_id,title,caption,likes,thumbnail_url,url,date_utc,typename,caption_hashtags,is_video
mkbhd,C0ceWUwPfXe,,Cybertruck not so fun fact,211723,posts/mkbhd\2023-12-04_20-42-29_UTC.jpg,posts/mkbhd\2023-12-04_20-42-29_UTC.mp4,2023-12-04 20:42:29,GraphVideo,[],True
mkbhd,C0ZTDf8rEiS,,Chapter 30,107101,posts/mkbhd\2023-12-03_15-05-29_UTC.jpg,posts/mkbhd\2023-12-03_15-05-29_UTC.jpg,2023-12-03 15:05:29,GraphImage,[],False
mkbhd,C0TtcQ5rkGC,,Just dropped the 40-minute Cybertruck drive and walkthrough on YouTube. Go watch it l! 📐,104241,posts/mkbhd\2023-12-01_11-00-37_UTC.jpg,posts/mkbhd\2023-12-01_11-00-37_UTC.jpg,2023-12-01 11:00:37,GraphImage,[],False
mkbhd,C0PL7u3Lc6w,,Gimme some time to edit this one 👀,91784,posts/mkbhd\2023-11-29_16-50-51_UTC.jpg,posts/mkbhd\2023-11-29_16-50-51_UTC.jpg,2023-11-29 16:50:51,GraphImage,[],False
mkbhd,Cz9CbA8r-Lm,,PSA: It’s that time of year. @BestBuy #BestBuyPartner,16930,posts/mkbhd\2023-11-22_15-41-59_UTC.jpg,posts/mkbhd\2023-11-22_15-41-59_UTC.mp4,2023-11-22 15:41:59,GraphVideo,['bestbuypartner'],True
mkbhd,Cz3xKmhL9aE,,"When they say it’s as simple as 1 2 3, they better not mean….",802972,posts/mkbhd\2023-11-20_14-35-03_UTC.jpg,posts/mkbhd\2023-11-20_14-35-03_UTC.mp4,2023-11-20 14:35:03,GraphVideo,[],True
mkbhd,CzxYURPo6oB,,"Had a fun time showing @mkbhd around our garage in Las Vegas ✌️ 

#LasVegasGP 🇺🇸 #F1 @bitdefender",272004,posts/mkbhd\2023-11-18_03-01-50_UTC_1.jpg,posts/mkbhd\2023-11-18_03-01-50_UTC_1.jpg,2023-11-18 03:01:50,GraphSidecar,"['lasvegasgp', 'f1']",False
mkbhd,Czuaf65vNpf,,RCS. On the iPhone. Finally.,63355,posts/mkbhd\2023-11-16_23-24-32_UTC.jpg,posts/mkbhd\2023-11-16_23-24-32_UTC.mp4,2023-11-16 23:24:32,GraphVideo,[],True
mkbhd,CzoWcWuLU_F,,"Here’s the cover of Fast Company magazine this month 🤓 They’ve put together a pretty in-depth bio for the episode as well, so if you see one in person… I can vouch for its accuracy",52498,posts/mkbhd\2023-11-14_14-52-18_UTC_1.jpg,posts/mkbhd\2023-11-14_14-52-18_UTC_1.jpg,2023-11-14 14:52:18,GraphSidecar,[],False
mkbhd,CzbtT3NOjo4,,Introducing a new colorway and updated design: 251.1. Now in matte black. (Plus a new water repellent ripstop mesh and a little touch of silver reflective detail for the winter) atoms.com!,122143,posts/mkbhd\2023-11-09_17-02-00_UTC_1.jpg,posts/mkbhd\2023-11-09_17-02-00_UTC_1.jpg,2023-11-09 17:02:00,GraphSidecar,[],False
mkbhd,CzNQZymL4qn,,"Team USA’s Marques Brownlee gets up high on the sand for the Sky D at WBUC

🥏: @mkbhd",18987,posts/mkbhd\2023-11-04_02-24-28_UTC.jpg,posts/mkbhd\2023-11-04_02-24-28_UTC.mp4,2023-11-04 02:24:28,GraphVideo,[],True
mkbhd,CzDH_aaLQsx,,The new Space Black MacBook Pro. I don’t need it. I don’t need it. I don’t need it. I definitely don’t need it.,151181,posts/mkbhd\2023-10-31_03-54-07_UTC.jpg,posts/mkbhd\2023-10-31_03-54-07_UTC.jpg,2023-10-31 03:54:07,GraphImage,[],False
mkbhd,Cy3PSjZLDIj,,"This, or a discounted S23?",95982,posts/mkbhd\2023-10-26_13-07-23_UTC.jpg,posts/mkbhd\2023-10-26_13-07-23_UTC.mp4,2023-10-26 13:07:23,GraphVideo,[],True
mkbhd,CylbBdbRzz8,,"The OnePlus Open is….. really good for a first gen foldable. I mean I guess it’s not a first gen Foldable when they work with Oppo right across the street, but… still. So good.",73432,posts/mkbhd\2023-10-19_15-03-12_UTC.jpg,posts/mkbhd\2023-10-19_15-03-12_UTC.jpg,2023-10-19 15:03:12,GraphImage,[],False
mkbhd,Cyi5ShILqzr,,So the truck gets better sitting in the garage overnight with a software update. Not bad.,50177,posts/mkbhd\2023-10-18_15-34-20_UTC.jpg,posts/mkbhd\2023-10-18_15-34-20_UTC.mp4,2023-10-18 15:34:20,GraphVideo,[],True
mkbhd,CyZsoezLu1W,,AI generated yearbook photos AKA Halloween ideas,224453,posts/mkbhd\2023-10-15_01-46-12_UTC_1.jpg,posts/mkbhd\2023-10-15_01-46-12_UTC_1.jpg,2023-10-15 01:46:12,GraphSidecar,[],False
mkbhd,CyTVia8LfYl,,"Close your eyes
Imagine if the Cybertruck was real
Now imagine it turned into a scooter
Now open your eyes",181050,posts/mkbhd\2023-10-12_14-29-19_UTC.jpg,posts/mkbhd\2023-10-12_14-29-19_UTC.mp4,2023-10-12 14:29:19,GraphVideo,[],True
mkbhd,CyHQ-MvLr0p,,"Corsair made a bendable ultra wide monitor, because why not. Turns out it’s actually a really solid display too",229465,posts/mkbhd\2023-10-07_21-58-35_UTC.jpg,posts/mkbhd\2023-10-07_21-58-35_UTC.mp4,2023-10-07 21:58:35,GraphVideo,[],True
mkbhd,Cx-vcwXLfzl,,"Got hands-on with the TOP SECRET (lol) Pixel 8 and 8 Pro, and... I really like them. Lots of promising improvements, including Tensor G3, new cameras and the brightest srceen I've ever seen on a phone 👀 Full video is on the channel now!",81689,posts/mkbhd\2023-10-04_14-31-19_UTC.jpg,posts/mkbhd\2023-10-04_14-31-19_UTC.jpg,2023-10-04 14:31:19,GraphImage,[],False
mkbhd,Cx81Xnovti7,,PSA: Your Phone Will Ring Tomorrow,170569,posts/mkbhd\2023-10-03_20-45-32_UTC.jpg,posts/mkbhd\2023-10-03_20-45-32_UTC.mp4,2023-10-03 20:45:32,GraphVideo,[],True
mkbhd,CxwHQPrrThZ,,The face of the iPhone 15 Pro review (which just dropped),88667,posts/mkbhd\2023-09-28_22-10-43_UTC.jpg,posts/mkbhd\2023-09-28_22-10-43_UTC.jpg,2023-09-28 22:10:43,GraphImage,[],False
mkbhd,Cxghr_sP7BQ,,Just to be clear: you should update your iPhone (please),156362,posts/mkbhd\2023-09-22_20-54-30_UTC.jpg,posts/mkbhd\2023-09-22_20-54-30_UTC.mp4,2023-09-22 20:54:30,GraphVideo,[],True
mkbhd,CxYRLUULBJ5,,"Oh btw just unboxed all the new iPhones in YouTube, head over and check it out while we cook up the full reviews 👀",124464,posts/mkbhd\2023-09-19_15-55-39_UTC.jpg,posts/mkbhd\2023-09-19_15-55-39_UTC.jpg,2023-09-19 15:55:39,GraphImage,[],False
mkbhd,CxHuVKJrv1O,,iPhone 15 event: everything you need to know,168812,posts/mkbhd\2023-09-13_05-44-59_UTC.jpg,posts/mkbhd\2023-09-13_05-44-59_UTC.mp4,2023-09-13 05:44:59,GraphVideo,[],True
